doubletriple_hit,fielded_out,homerun_hit,other,single_hit,single_walk,strike_out
0.5740225,-0.8630137,-0.8040407,0.66154516,0.053544056,-0.009954983,0.930142
-0.51959467,-0.09377277,-0.4228278,-1.313069,0.3875345,-0.2940263,-0.46596503
0.52077764,-0.8908798,-0.8442805,0.6740294,0.064196266,-0.25605133,0.8272442
-0.6813537,0.16415045,-0.25437075,-1.4051883,0.14868051,-0.14089887,-0.122914724
0.7017614,-0.8527182,-0.95814466,0.55668336,0.15541136,-0.019240167,0.84933203
-0.562817,0.04484012,0.22998895,-1.4313232,0.10966425,0.27007604,0.18227808
0.6212146,-0.8214207,-0.967864,-0.39684314,-0.112664476,0.12744808,0.82563806
-0.53837925,0.40517393,0.3193086,-1.3023504,-0.23701668,0.044238262,0.051948737
0.57780457,-0.7874581,-0.96602255,-0.25825468,-0.1644675,0.04750308,0.83663183
-0.4727158,0.39731956,-0.14669083,-1.205747,-0.13191116,-0.01508569,0.45879444
0.4742388,-0.83825153,-0.799677,-0.06308032,0.33263284,-0.38441995,0.77122986
-0.5368905,-0.18171845,-0.3359671,-1.272886,0.26572147,0.7465014,-0.44693115
0.50074553,-0.9150211,-0.6064532,0.78664416,-0.21359724,0.1575157,0.8674804
-0.5880957,0.000103494924,-0.5676248,-1.4427013,-0.0215146,-0.2123414,-0.1195183
0.5572737,-0.76690286,-0.9502598,0.43351635,-0.3004739,0.3387009,0.921016
-0.50170577,0.25241768,0.30661803,-1.1823384,0.18414323,-0.44424814,-0.10977842
0.6079355,-0.7632055,-1.104967,-0.30145726,-0.21290521,-0.26939577,0.7087796
-0.5567678,0.38453728,0.1706123,-1.508934,0.17570356,-0.38105255,0.111510485
0.6204333,-0.6898206,-1.2082914,-0.23763052,0.6943995,-0.72468865,0.68631953
-0.5357563,0.21736372,0.17108184,-1.4011768,-0.10263558,-0.1305294,0.100639775
0.52399045,-0.7985282,-1.0428503,-0.6281467,0.07284903,-0.30254725,0.72410697
-0.5166321,-0.08358243,-0.18052582,-1.2650937,0.30487904,-0.11706742,0.068819255
0.54494137,-0.836162,-0.9504639,0.40755892,-0.14125974,-0.13413367,0.9854487
-0.5107858,0.34147856,0.33006775,-1.5048108,0.13166317,0.25036615,-0.0059750313
0.49568123,-0.7615153,-1.0161572,-0.42708385,0.1214023,0.19375268,0.871198
-0.4926338,0.41376835,0.18321368,-1.4064907,0.16617495,0.2078827,0.37255675
0.49610364,-0.79318345,-1.0806469,-0.30189446,0.08885686,0.113467485,0.68642783
-0.3495576,0.59473413,0.35751817,-1.375513,0.07434199,-0.03143516,0.24599692
0.48673347,-0.70953315,-0.80626553,-0.7302674,-0.08745891,-0.2904053,0.8177016
