doubletriple_hit,fielded_out,homerun_hit,other,single_hit,single_walk,strike_out
0.49806872,0.1584204,-0.11419093,1.355458,-0.04496501,0.28125358,-0.051319372
-0.5264952,-0.84787047,1.0350522,0.51036793,-0.045871902,-0.19871031,0.91207343
0.5411335,0.15056062,-0.09313997,1.4152461,0.038656358,0.21342532,-0.08504975
-0.5734603,-0.8830498,0.9680973,0.5321165,0.74984145,0.27964145,0.89473873
0.64848024,0.30223152,-0.049546048,1.5133821,0.13187918,-0.09902666,-0.054308064
-0.6278707,-0.76431453,1.126895,0.28871012,-0.25211886,0.08623567,0.8207485
0.5843798,-0.16974287,0.08949826,1.5197437,-0.16139784,-0.19183423,-0.20550323
-0.65803427,-0.8684981,1.1428893,-0.2235445,-0.1100447,-0.73503715,0.83662665
0.5764222,0.33870777,-0.2687571,1.4899366,0.022473047,0.088136725,0.21825927
-0.5552877,-0.795529,1.0338264,0.4456764,0.31897235,-0.32369852,0.714679
0.50767,0.38319707,-0.21168868,1.4092695,0.18852636,0.066766635,-0.003940898
-0.48522308,-0.7311299,0.90369934,0.5735404,-0.12417805,-0.056705676,0.96043295
0.6116247,0.4074045,0.19349587,1.3721542,-0.36277306,0.24476922,0.23594151
-0.56079566,-0.81235015,1.1581123,0.021613806,0.032341465,0.098390914,0.8655427
0.28578925,0.2355898,-0.076883696,1.5295813,0.389041,0.22223057,0.09203039
-0.54206324,-0.85281295,1.0901297,-0.03529359,0.024504159,-0.35854802,0.97025543
0.62697655,0.0014457274,0.09407437,1.5160481,0.25423825,-0.030450044,0.06478791
-0.6449997,-0.88927853,0.97881746,0.018420115,0.3066341,0.14648344,0.78184646
0.5006719,0.4958324,-0.5501161,1.2186418,-0.24665695,-0.1915757,0.33357793
-0.41077712,-0.76135606,0.86556226,0.8544205,0.07809926,-0.5249599,0.7199298
0.6462871,-0.057472505,0.32123002,1.409899,0.049828295,0.088793956,-0.20928288
-0.6290267,-0.85403436,1.0329306,-0.56433016,-0.27144426,0.34076008,0.90172917
0.39710832,0.06218507,-0.015457588,1.4921888,-0.5206437,0.14297237,0.017499954
-0.42974848,-0.8525576,1.0123812,0.29759467,0.60007495,-0.19408418,0.9093718
0.5134124,0.33921736,-0.32742593,1.2569737,0.19913617,-0.058568206,0.12791061
-0.6263433,-0.7290425,1.0747712,0.39263073,-0.36665085,0.09221963,0.81588703
0.48081747,0.13333689,0.12234334,1.478957,-0.22429416,-0.024493981,-0.11917498
-0.43565923,-0.835043,1.0860904,-0.017887399,0.7057195,-0.12642694,0.74732345
0.71471375,0.54109764,-1.1286138,1.2210711,0.044564836,-0.13676639,0.33365837
-0.70290935,-0.5487613,0.47464985,1.0686667,-0.31042495,-0.07020374,0.6121744
0.5700959,0.18400687,0.15333594,1.236223,0.17319885,-0.13564543,-0.0015659962
-0.58316255,-0.7944936,0.8622671,-0.69627416,0.054922905,0.20069018,0.8047851
0.62946296,0.14609464,-0.21699333,1.4226654,0.0408952,0.01144983,0.07844934
-0.6314529,-0.82908964,0.91358167,0.518575,0.06109864,-0.18734449,0.8249037
0.63442683,-0.052940577,0.14860553,1.4186482,0.078793444,0.2202542,0.1552135
-0.6432328,-0.80507654,1.0888565,-0.43510398,-0.030469762,0.25552177,0.81120956
0.5155296,0.20397682,-0.14217196,1.4443012,-0.43686226,-0.22976524,0.113514096
-0.56729305,-0.8266476,1.0146762,0.17281912,-0.15757363,-0.01880573,0.74422747
0.63105005,0.06869131,0.44447657,1.1214557,-0.19958997,-0.24717574,-0.39912903
-0.55163753,-0.8764173,0.87052643,-0.78499866,-0.21289963,0.018766498,0.8038826
0.58411175,0.06493497,-0.06254804,1.5327652,-0.3536771,0.048862804,0.18370502
-0.5625391,-0.8519374,1.0503297,0.0023174407,-0.025059164,-0.0011729351,0.7897636
0.46398777,0.2995581,0.1475122,1.445289,-0.36637875,0.16201738,0.56566674
-0.4801999,-0.8116235,0.9484226,0.47988042,0.15363832,0.11515101,0.6913592
0.43239707,-0.5498628,0.7530938,1.0285197,1.1271867,-0.3418594,-0.6929181
-0.5059382,-0.8596784,0.8107487,-1.0218166,-0.54846483,-0.43462837,0.7315713
0.5768926,0.040044386,0.21793905,1.3882304,-0.01339983,0.024364565,-0.077337876
-0.6321223,-0.9179494,0.9202531,-0.26678655,-0.57345945,-0.19750394,0.77653146
0.58739996,0.28946412,-0.36299217,1.2632672,0.08439255,0.6773975,0.7961134
-0.5895565,-0.76009315,1.0008315,0.6738534,0.19446075,-0.1492357,0.705075
0.5215147,0.21791717,0.16862746,1.3280597,0.022490403,-0.025825294,0.058111317
-0.57714874,-0.79762477,1.037247,0.6550405,-0.24238373,-0.22040777,0.7767073
0.52419466,0.55288696,-0.23613001,1.4235883,-0.5384882,0.10051237,0.28578395
-0.57746375,-0.7441343,1.0610715,0.5568478,0.20797272,-0.3105469,0.7511582
0.54878384,-0.14359543,0.4896201,1.194208,0.06223101,-0.029742366,-0.18760967
-0.59924656,-0.8841927,0.86250186,-0.7579893,-0.02638784,-0.24795735,0.72739357
0.6046112,-0.27482653,0.09791628,1.2267321,0.2499757,0.0805026,-0.45812595
-0.6042476,-0.8009736,0.8936954,-0.734567,0.18898402,0.328066,0.75511837
0.57800204,0.104358815,-0.21012253,1.4365582,-0.41873506,0.30406824,0.08183801
-0.5724628,-0.8635759,1.012929,0.2820335,-0.35400137,-0.23716986,0.9073508
0.33569846,0.5183471,-0.35792342,1.2564462,-0.75245094,0.37327355,0.63435245
-0.45226645,-0.8310116,0.8525998,0.42987132,0.14730398,-0.4571622,0.83739084
0.29075536,0.66520345,-0.18122418,1.3132088,-0.16592243,0.9057224,0.71530366
-0.4427015,-0.7748397,0.8465987,0.754168,0.6557368,-0.7991516,0.7778909
0.36827838,0.21636836,0.36469555,1.2841549,0.22606765,0.37779528,0.20657222
-0.38824818,-0.6958155,1.2084098,-0.11954383,0.26223555,-0.17754629,0.6488021
0.5316631,0.37933713,-0.4223772,1.2668809,-0.5015419,-0.076932654,0.002054425
-0.55954397,-0.8316866,0.968166,0.753845,0.17598091,0.09507401,0.80825895
0.5056046,0.04829909,0.13227034,1.2469276,-0.0647104,0.23177446,0.13878927
-0.5516533,-0.84378785,0.9443106,-0.45602328,-0.0810953,0.3720004,0.78459936
0.57172793,0.16913746,0.5276768,1.2979628,0.22652452,0.0029110787,0.005453175
-0.55393624,-0.859619,0.97671163,-0.45776135,0.08837729,0.16536677,0.87905395
0.56939536,0.2526768,0.36027533,1.3002014,0.54800946,-0.15158443,0.05755861
-0.5499034,-0.8476733,1.0542665,-0.49515012,0.00738571,0.07782456,0.8931599
0.40219697,-0.18879882,-0.04004395,1.1688943,-0.12821914,-0.09423486,-0.22880311
-0.5126923,-0.852592,0.75180054,-0.5522473,0.20551218,0.07954156,0.7451574
0.48601153,0.21274464,-0.20834894,1.410245,-0.12326742,0.077987015,-0.0053300667
-0.4548874,-0.87406725,0.9948289,0.54213065,-0.0791485,0.015914336,0.8544325
0.58948725,0.18356821,0.38548303,1.3947872,-0.15918837,0.223588,-0.033776093
-0.6077914,-0.7625661,1.0789096,-0.5242524,-0.060000103,0.035287417,0.8579605
0.53212357,0.11990796,0.36314785,1.4254389,0.04959827,0.13909663,0.018261278
-0.6383848,-0.78424245,1.0894184,-0.6286055,0.0064296094,0.29137513,0.8040908
0.6229396,-0.11801695,0.2713901,1.3505052,0.21444112,0.65575165,0.01718892
-0.58876735,-0.8494176,0.9306246,-0.5974911,-0.2537807,-0.31217697,0.7757182
0.50775254,0.13046905,-0.4279917,1.447949,0.006202193,0.041606486,0.2096318
-0.54887044,-0.8770285,0.9109357,0.44489297,0.09480885,0.3825565,0.7111194
